"Region","gap_type","no.wells","well.per.reg","percent"
"North East","< 27 Days",10,10,100
"Okanagan-Kootenay","27 - 54 Days",1,48,2.08333333333333
"Okanagan-Kootenay","< 27 Days",45,48,93.75
"Okanagan-Kootenay","> 81 Days",2,48,4.16666666666667
"Omineca","< 27 Days",6,6,100
"Skeena","< 27 Days",5,5,100
"South Coast","27 - 54 Days",1,59,1.69491525423729
"South Coast","< 27 Days",58,59,98.3050847457627
"Thompson-Cariboo","27 - 54 Days",1,27,3.7037037037037
"Thompson-Cariboo","54 - 81 Days",1,27,3.7037037037037
"Thompson-Cariboo","< 27 Days",24,27,88.8888888888889
"Thompson-Cariboo","> 81 Days",1,27,3.7037037037037
"West Coast","27 - 54 Days",1,82,1.21951219512195
"West Coast","< 27 Days",78,82,95.1219512195122
"West Coast","> 81 Days",3,82,3.65853658536585
"Province-wide","27 - 54 Days",4,237,1.68776371308017
"Province-wide","54 - 81 Days",1,237,0.421940928270042
"Province-wide","< 27 Days",226,237,95.3586497890295
"Province-wide","> 81 Days",6,237,2.53164556962025
